Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20659212.08306846,-75.97366369061349
150,6995532.502881572,-77.67807581862687
250,4316237.375606295,-82.10073350193593
350,3129365.451505746,-84.51444824871864
450,2468396.100606848,-88.14763305622901
550,2036804.1705967684,-89.7525576217668
650,1716250.384855509,-92.38563682370959
750,1499518.809782618,-94.93381213625737
850,1318448.9899209735,-97.42375603101638
950,1211899.4558077208,-99.31466969701462
1050,1099290.5762504244,-101.22545179367475
