Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,16018541.486088108,-49.48874178015342
150,6966638.033725822,-63.841977064825265
250,4488066.993596087,-67.18022067051409
350,3397244.055204841,-73.27143615563702
450,2723245.0533818356,-76.1880835575883
550,2287977.0469068033,-78.99782752074583
650,1945947.6153688054,-81.47750910302948
750,1713366.0121766946,-83.56665341545215
850,1514796.719564703,-85.85500349849812
950,1393974.4043695326,-87.44170363585194
1050,1270171.5021621208,-89.13895697976552
