Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5067621.137020391,150.20333376923978
150,291962.0704293842,78.21115030958134
250,271138.1179296827,-17.049751365502136
350,309193.26000971615,-18.784911761705622
450,287190.29140250664,-18.793669190729357
550,211177.55469693244,-29.778791917706734
650,168482.68849938468,-36.32871222891584
750,217878.85136159317,-41.25511563835942
850,219896.05367681367,-55.75163997204298
950,211201.08694585177,-56.777550512061566
1050,217829.0160446812,-57.94610702183958
