Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3551.50319260272,-30.5359414433093
150,2617.811861444778,-27.928715494199114
250,2298.867742581627,-25.993779127212388
350,2165.7289799112764,-28.01617671727236
450,1961.0250992104156,-29.57930727280774
550,1873.7408390499556,-31.06997813511742
650,1794.9158880351285,-32.99316759103838
750,1716.7873626733588,-34.909244268964954
850,1652.474575424857,-36.6132647426754
950,1600.6358234664174,-37.8167755870811
1050,1555.5012964738664,-39.389781324581946
