Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6235316.732945656,-36.58426211866407
150,216620.45456547764,-27.058651606731033
250,312066.79015891417,-19.201781273640673
350,320018.77363258356,-20.496037801407095
450,297565.15887239383,-26.097958779897287
550,202620.68533332946,-32.04682670925521
650,200099.76727392428,-28.0709936063494
750,269177.73097710364,-45.552038370171466
850,237428.82036931432,-45.62322776695706
950,234891.42966767997,-50.93680680229471
1050,232734.83750536977,-60.776405239442916
