Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,1547288.69 Ohm,1233.32 Ohm,2047961.62 Ohm,1679.42 Ohm,1868132.54 Ohm,1969903.94 Ohm,2001428.42 Ohm,1953239.35 Ohm,1958311.49 Ohm,1926555.75 Ohm,2019808.11 Ohm,1947476.25 Ohm,1580879.84 Ohm,1605510.99 Ohm,1983597.52 Ohm,1521861.15 Ohm
12,1497329.12 Ohm,1234.60 Ohm,2007650.07 Ohm,1671.49 Ohm,1617757.37 Ohm,1985889.38 Ohm,2031462.94 Ohm,1960457.51 Ohm,1914712.84 Ohm,1916526.26 Ohm,2042882.34 Ohm,1898755.11 Ohm,1549885.03 Ohm,1575658.04 Ohm,1926952.62 Ohm,1543336.53 Ohm
4,1515058.95 Ohm,1229.94 Ohm,516082.19 Ohm,1663.07 Ohm,1503039.41 Ohm,2006366.29 Ohm,2034097.41 Ohm,1962051.49 Ohm,1955041.56 Ohm,1812067.12 Ohm,2043697.58 Ohm,1936911.82 Ohm,1615854.49 Ohm,1605091.49 Ohm,1976829.08 Ohm,1490360.37 Ohm
5,1511836.15 Ohm,1230.75 Ohm,543464.10 Ohm,1678.31 Ohm,1612839.10 Ohm,2004906.41 Ohm,2034554.31 Ohm,1961740.67 Ohm,1950427.98 Ohm,1956481.71 Ohm,2045717.89 Ohm,1935474.01 Ohm,1597454.55 Ohm,1609320.58 Ohm,1970551.59 Ohm,1375420.99 Ohm
10,1488763.26 Ohm,1235.43 Ohm,599514.98 Ohm,1682.91 Ohm,1488429.40 Ohm,1998333.61 Ohm,2026216.23 Ohm,1963815.43 Ohm,1959659.71 Ohm,1551859.95 Ohm,2080399.24 Ohm,1942392.04 Ohm,1615841.70 Ohm,1607910.64 Ohm,1986184.97 Ohm,1398181.68 Ohm
11,1538338.80 Ohm,1243.36 Ohm,639179.00 Ohm,1671.57 Ohm,1382015.42 Ohm,1393728.88 Ohm,2036163.66 Ohm,1970708.37 Ohm,1960507.77 Ohm,1492619.25 Ohm,2035287.22 Ohm,1946022.79 Ohm,1498290.51 Ohm,1557543.60 Ohm,1988333.52 Ohm,1506953.86 Ohm
2,1518003.90 Ohm,1248.36 Ohm,643330.29 Ohm,1663.35 Ohm,1527610.31 Ohm,1449025.21 Ohm,290232.96 Ohm,1975423.43 Ohm,1956160.87 Ohm,1558992.66 Ohm,2036230.29 Ohm,1939973.33 Ohm,1498562.51 Ohm,1517687.82 Ohm,1969558.84 Ohm,1503543.83 Ohm
3,1494959.24 Ohm,1245.34 Ohm,653944.96 Ohm,1672.82 Ohm,1484897.43 Ohm,1454956.93 Ohm,449344.50 Ohm,258635.93 Ohm,1967907.57 Ohm,1604637.62 Ohm,2068892.96 Ohm,1943993.18 Ohm,1512988.89 Ohm,1552910.44 Ohm,1984204.40 Ohm,1460101.92 Ohm
8,1510376.21 Ohm,1241.53 Ohm,657111.53 Ohm,1676.56 Ohm,1421940.13 Ohm,1457616.95 Ohm,488801.39 Ohm,395868.73 Ohm,431251.24 Ohm,1581375.53 Ohm,2060382.71 Ohm,1940885.77 Ohm,1505951.29 Ohm,1559986.89 Ohm,1984777.18 Ohm,1439424.74 Ohm
9,1512298.45 Ohm,1237.32 Ohm,668147.12 Ohm,1670.44 Ohm,1533470.62 Ohm,1459742.69 Ohm,525994.13 Ohm,443433.71 Ohm,625143.65 Ohm,1503537.63 Ohm,2035734.63 Ohm,1942963.51 Ohm,1591542.47 Ohm,1577677.02 Ohm,1986328.78 Ohm,1399960.80 Ohm
0,1522826.15 Ohm,1231.20 Ohm,690009.25 Ohm,1677.87 Ohm,1516691.09 Ohm,1478935.08 Ohm,572625.83 Ohm,493505.97 Ohm,703030.40 Ohm,1349140.54 Ohm,164.93 Ohm,1947320.26 Ohm,1503525.42 Ohm,1508452.59 Ohm,1987414.17 Ohm,1301674.45 Ohm
