Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12086236.114224393,-54.130065550845714
150,4986179.354908115,-82.83097585421784
250,3052650.0849368037,-83.45490085057665
350,2220027.698160336,-84.60039181917058
450,1771636.5539650067,-86.88544034348274
550,1473649.1060246532,-88.46611896574034
650,1243271.1687338809,-90.37839891579029
750,1090949.172957296,-91.92517132795071
850,962423.8997964675,-93.93560367938454
950,885117.6737535418,-95.49581075534867
1050,807065.1054398163,-97.04607807608821
