Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8436058.823403962,-4.187050092739053
150,5016771.056197149,-46.087765568963505
250,3595945.4826468276,-54.06974017107164
350,2814489.346284535,-61.26494820614314
450,2321306.841924765,-66.01971666483023
550,1986385.0091429567,-69.71172763112008
650,1708528.3579541782,-72.95671823862516
750,1519716.3111586492,-75.43190530191491
850,1355853.8443174213,-78.1600803426296
950,1256376.0635173465,-79.92727997567427
1050,1151786.219247268,-81.89308716789348
