Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,28422943.333746776,-72.58235752012465
150,10430766.347457541,-74.81557422767398
250,7167748.197777933,-82.95240831025691
350,5576813.339771155,-84.69134341010381
450,4189007.1836324036,-87.53940467419584
550,3495753.461011081,-90.36657257138037
650,2950524.2491387688,-93.59567464975356
750,2581309.6558929817,-96.03968104816371
850,2276229.2130587483,-98.34568246008622
950,2084090.546711087,-100.74576605691378
1050,1890939.1928258627,-102.29617275688074
