Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12611215.530924963,-60.960250306062434
150,6799515.452094672,-61.98614526879112
250,4446017.80262559,-69.99953853612001
350,3498507.9408595986,-77.194720580253
450,2914483.381657788,-82.34337516009914
550,2454293.0711139687,-86.67544137727172
650,2086556.2397168928,-92.20359779603221
750,1826412.8163139143,-95.48106784758157
850,1611283.9888949774,-99.00822973576788
950,1469901.3752842795,-101.74173304342365
1050,1343579.42767732,-105.59254109976611
