Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,133197.63183466237,151.46617998053858
150,1843.5028499839993,17.513666026882998
250,1640.0024415213013,-19.074725143826765
350,1586.8221473835101,-12.41648105608287
450,1591.8822166084612,-14.867962354005174
550,1521.5984629153284,-12.950575404850849
650,1575.126856493113,-12.70456655187555
750,1533.8224363242405,-13.204872961857154
850,1515.6366609684078,-14.265499725644855
950,1504.7493039178087,-14.971342041029049
1050,1490.047766217018,-16.719094003353717
