Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,27259718.894320954,-70.14334403958168
150,10263424.993201371,-80.17684200417806
250,7421482.49048369,-85.35344442687949
350,5208999.46903516,-85.13522300884723
450,4144067.6773611866,-88.68927270329402
550,3477999.711404083,-91.76387569372775
650,2984887.591270245,-96.15744847344233
750,2585932.1759534343,-97.88242842167169
850,2269129.437788752,-100.19985847185038
950,2113532.2104828185,-103.2716386521182
1050,1890715.7431973475,-105.03628000715673
