Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13641547.750688082,-61.241578569610624
150,5305773.181445237,-79.38291722787314
250,3402522.7303480757,-78.79587096139385
350,2560892.050600734,-80.63610663236798
450,2062245.3297790894,-83.09624386630654
550,1739909.1794755787,-85.44547987838268
650,1482392.0591061364,-87.74715808057039
750,1305418.099458869,-90.05378362133544
850,1149172.390067653,-92.37817195382907
950,1057198.6962096523,-93.85869667968926
1050,959072.0394804456,-95.82651980841572
