Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,123172.09770423087,54.498071851561185
150,3289.3009366554857,-3.461005830861238
250,3263.3351455073375,-5.529874626940698
350,3223.7216301072476,-6.737267351247166
450,3198.2848048105884,-6.960323036738999
550,3234.5061257368475,-7.327936826443051
650,3130.9584097383217,-7.132570798184356
750,3161.0942745268285,-8.231398271341861
850,3116.3309670761005,-8.303733845589738
950,3107.240332025164,-8.578292169781754
1050,3097.5603725330507,-8.896969997971297
