Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,7647604.732228115,-12.658517226998306
150,5003160.729652486,-46.56007388653688
250,3608848.9215031257,-54.573348416731584
350,2830150.5177616733,-61.53219219797089
450,2317734.7391770133,-65.7378155545278
550,1986286.2176838832,-69.44952676240247
650,1705358.2673681783,-72.7818780404931
750,1518288.174889142,-75.46179693271269
850,1354754.5171288145,-77.99138392840432
950,1256341.4758484906,-79.94219944013618
1050,1151802.887231195,-81.75681546570512
