Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4172540.077481802,12.078341678490903
150,3922481.785393228,-21.345410434647853
250,3514706.1401294805,-30.79484120581732
350,3033415.6599079953,-39.34967066181547
450,2739029.9488310064,-48.48803209150754
550,2438161.602690656,-54.964854193743875
650,2141092.475067328,-60.05778213204794
750,1969912.1674632942,-66.22020409896658
850,1764492.4403489197,-69.66547881945723
950,1632006.7549785613,-71.61507188627397
1050,1490996.1434845836,-73.68490547577284
