Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12592357.902370311,-52.11516473261803
150,6530091.269009084,-69.61095014594589
250,4244356.33503546,-77.34276420336379
350,3264273.980268763,-82.41128217253673
450,2616888.5315391636,-87.52878144232456
550,2203406.425767567,-91.65307026463775
650,1870157.1648177614,-95.73072980252171
750,1628147.0085469608,-99.07015944478763
850,1433783.0413712175,-102.27344748036501
950,1311216.730156673,-105.04469134280774
1050,1189947.6684067897,-108.34030618559493
