Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4068697.477039796,115.09871608090036
150,233597.84921077013,-47.22744171787447
250,264533.9084964909,-27.051488007067956
350,307368.57068280043,-25.647098054586152
450,304529.8650158208,-26.93522198408317
550,227947.38785240604,-45.44880924447439
650,205529.53322765403,-48.9475405695732
750,238482.1161152562,-46.62707683633727
850,237325.45777889562,-51.11494591673887
950,204356.9587889934,-51.01879820572647
1050,229380.32704573165,-55.34466172798229
