Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3650851.886882535,9.106563987778992
150,3498101.28740892,-21.062055046010585
250,3222469.4430231354,-31.074247236070335
350,2873651.6734737763,-40.03139713742434
450,2517815.0849167733,-47.56516934034458
550,2218131.8018283253,-53.110383644612085
650,2016563.4735176144,-60.38977920694628
750,1795709.0948133862,-63.427122584557964
850,1636837.876571637,-68.79091789474678
950,1536010.7096460212,-72.16528449544887
1050,1417805.4753794633,-75.5666723084448
