Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20290694.802269533,-24.475715798415752
150,10185591.897775518,-64.88011854993682
250,7436130.324839844,-75.77970215084557
350,5735706.46785978,-81.34516256103063
450,4372470.026929539,-84.79554404523563
550,3644137.5519984993,-87.77765368747511
650,3093025.568330002,-90.88702354788703
750,2711317.9154741913,-93.15328291190947
850,2362815.004415531,-95.83716770431298
950,2175867.6472994224,-97.7265749662285
1050,1968336.2697530582,-99.77530048852563
