Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,18854663.89223841,-37.51924900935619
150,6463146.89166414,-63.78485541660161
250,4768645.6436997205,-72.998303092085
350,3798444.0903543187,-78.60511554573645
450,3099620.4345379667,-85.0807421126533
550,2599659.65508009,-89.3894054041188
650,2217005.094181307,-93.3092738381108
750,1938950.3164970758,-97.45618906563917
850,1698731.4581583575,-100.96953139579334
950,1550442.7026083525,-104.63180088493885
1050,1386372.3670503374,-108.85408900338905
