Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13957414.259623379,-8.945855000686317
150,6005793.483596105,-51.13591767521514
250,4620946.302114397,-59.271494689805664
350,3815758.2764859977,-60.15819033416615
450,3093045.1139681693,-63.3987336788327
550,2685354.9243699745,-65.85553848776968
650,2307274.5568623627,-69.86474952502786
750,2054380.2061195942,-71.15930309251323
850,1832223.1335862845,-76.73686969762926
950,1670734.6861127908,-79.0042185661311
1050,1535806.203488067,-81.30571058983708
