Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,768590.7126106587,58.907653265759166
150,84720.13069369654,13.886631308521434
250,76530.99115975312,-11.940313348021613
350,58320.09844582821,-11.182103741166685
450,59752.56780401708,-8.042076563956313
550,57874.850441969436,-11.577978215951806
650,55948.64526575849,-14.381398211062997
750,53220.89781219252,-14.888913440119243
850,50892.25785662388,-16.83227224011842
950,50812.75708795307,-17.964582640293948
1050,51702.48388054565,-20.25145829964835
