Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,23791049.55884852,-55.07207452231001
150,9659856.942151789,-66.37001930908335
250,6207552.897134913,-72.53157098137213
350,5176695.110861214,-80.19219447251467
450,3979585.4623448225,-82.86811077724039
550,3359058.09525726,-86.12442351443278
650,2818409.7847470217,-88.8547766826205
750,2476015.0770082925,-91.88898974270315
850,2178606.798569571,-94.45030169801014
950,2001727.898503897,-96.58970569472788
1050,1814944.7813637892,-97.95489488416234
