Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10598554.959740445,-62.269965291921636
150,4299812.5217408985,-81.89962698645671
250,2649873.502512194,-83.86967199124301
350,1926405.615708289,-85.66244993606547
450,1521616.568202786,-87.33613415619752
550,1256831.8259149124,-88.62351921138229
650,1056959.8082573463,-90.14911949087497
750,922477.8266927116,-91.55902694382486
850,809231.8387141362,-93.02176024950545
950,742472.3981559183,-94.120812474933
1050,672657.4697887714,-95.32329921924955
