Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12026878.628841568,-82.21576467463018
150,4318305.020404072,-83.58990003609624
250,2728807.346593291,-84.8881340712156
350,2017475.1866298884,-86.21595263667574
450,1614243.5127637268,-87.76174209881303
550,1353344.5783333348,-89.28766941300748
650,1148820.5089190379,-90.93321179307131
750,1010919.2480305866,-92.45944641744309
850,897592.2927341803,-94.27370381502028
950,826911.1280142615,-95.6020079868902
1050,757992.114451417,-97.23320256291278
