Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12284808.862045081,-19.142759669294126
150,8971077.044912705,-40.36333746546249
250,7675292.061025642,-52.26130669000632
350,6007486.294717518,-60.41398590691031
450,5041316.827083537,-69.74660808410958
550,4229360.4204284325,-76.49169549621753
650,3600033.306709293,-83.48864346169404
750,3189625.2791692507,-88.19914429760996
850,2870399.268453008,-92.42565455912354
950,2604323.345165303,-95.88064574613989
1050,2370114.5617960854,-99.85586473775322
