Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,16766762.776384098,-43.48432608192116
150,7987650.728329861,-58.001951455473694
250,5341832.017210523,-66.6267394640109
350,3969738.7646917077,-72.35833100421641
450,3145322.692599097,-75.58455565313533
550,2737156.8475345103,-80.53921751612842
650,2292448.695431699,-83.01335692703674
750,1993041.766901602,-85.2290024816126
850,1740897.6276905907,-86.96217958350542
950,1595192.586897265,-88.39013740262988
1050,1464251.151487729,-90.55157936072129
