Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8796339.808539283,2.239784201634192
150,7100751.616130429,-37.500689348973275
250,5377652.735764957,-49.80154560393491
350,4251694.980605025,-58.874155682391255
450,4027967.497752758,-67.19232138145935
550,3428498.4844453586,-72.48638512357603
650,2946636.6511984826,-77.26391088207461
750,2599395.166841831,-80.56561244706006
850,2297001.954401232,-84.60199045683716
950,2118061.3153175996,-86.8427524912903
1050,1929021.6893146222,-89.6771432940797
