Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,106499.76053573289,-93.5893764676364
150,3952.5431386169394,9.339739843361412
250,1323.4434043944466,-6.494624849918659
350,1291.2255525428648,-4.8834168427195
450,1301.0364088428053,-4.010760960636451
550,1253.1717916113396,-5.956391921996714
650,1307.2515128448936,-7.438610553852153
750,1274.414533288804,-7.992817570172654
850,1264.5468857416627,-8.401876259230372
950,1260.18454180525,-8.612146106529297
1050,1240.925152222567,-10.658297060998446
