Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,27803760.111907654,-70.2633327174679
150,10087525.25588811,-74.20320334358976
250,6848387.701478404,-80.91180767576267
350,5277898.422332083,-84.47632304337291
450,3946208.942756142,-86.83899959833556
550,3293366.9719012394,-90.34852743922504
650,2788507.6682690727,-93.25408755791956
750,2449932.5311627807,-96.62912605975063
850,2163122.2976131034,-99.25571973108632
950,1977088.4612610857,-102.02301251503599
1050,1793914.6112240527,-103.99844345896767
