Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,205625.1255809486,-26.12333725402905
150,154163.7992897609,-21.99750959565979
250,139859.01694698093,-22.966037027209875
350,132197.1014524763,-24.87772793114371
450,126761.77718049266,-27.161568709658372
550,121170.18635962173,-29.490818544205183
650,116080.71325231175,-32.06528559360272
750,111750.10815917618,-34.36219014583078
850,107358.03283557044,-36.916075318682154
950,104825.64366414485,-38.81661181773304
1050,101766.19793906716,-40.98280012722014
