Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20327899.78441269,-31.238138358052318
150,9967764.104186362,-67.93299894879988
250,7204516.220964355,-75.77606924686734
350,5562315.649116703,-81.91284334245722
450,4315649.711626787,-84.70701485766239
550,3626125.5070201764,-88.24781633709745
650,3053751.872526856,-92.67671813161104
750,2689300.3815324455,-95.41523094586447
850,2380019.6657002047,-98.49458994637233
950,2184241.8146631485,-100.92943055965101
1050,1969523.5503446897,-103.79897043809024
