Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,223231.33894075672,-10.049615155996461
150,143471.26293884983,-26.58582040810582
250,129758.84992045883,-27.611289715419566
350,121779.88524396469,-29.987022529760107
450,116688.38593566106,-32.94329629170212
550,111011.4638250217,-35.68570353221721
650,106177.52444537447,-38.75945218821472
750,101487.41182990254,-41.62817433065796
850,97183.34906360725,-44.77360108870826
950,94510.6489515349,-47.15857708100598
1050,91291.12934945954,-49.88365286093257
