Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,224947.29967444862,-32.79454971488276
150,156990.7277150082,-27.948484232672126
250,138353.0155654851,-29.659478911726932
350,128010.86144293797,-32.502066842379755
450,119937.10935778655,-35.54121244006248
550,114444.78750362848,-38.67085104707667
650,110313.91498859561,-42.13983843456864
750,105532.61779463007,-45.21298215279816
850,100273.67708221912,-48.527506150567085
950,97166.68773312715,-50.944948640636554
1050,94089.3160578151,-53.59083271001822
