Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,18206438.782471646,-22.681642893308865
150,6007673.277539039,-60.642469655249556
250,4428332.388017197,-70.83287278918897
350,3456613.890554465,-75.80279823809288
450,2894276.3742438657,-81.05048507461652
550,2437777.9285350274,-86.77454893905654
650,2062652.9486338072,-91.30498505698635
750,1823675.106306523,-95.3397078984094
850,1613279.9719439857,-98.91953793952648
950,1477877.8447051933,-101.78268408525393
1050,1325689.5972294572,-105.07031128862069
