Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10954862.801047213,-17.102155957956136
150,7394383.648669902,-54.94280788147755
250,5210696.178081544,-64.86226962186346
350,3997036.6802350855,-72.41371951916643
450,3148178.3119543754,-74.73130265324379
550,2636794.3328033895,-77.97281442502155
650,2226019.882464503,-81.08020474723091
750,1987164.4398847094,-84.58489800458253
850,1737124.1707827477,-86.38603307130003
950,1584704.1126210343,-87.394141508453
1050,1481224.4080584298,-90.82743926233381
