Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,8102771.452527648,-53.16919095026031
150,3596804.393937522,-75.6365484093074
250,2319898.607734961,-75.74584254926519
350,1758099.0031444188,-77.10207890399296
450,1423394.002309151,-78.89030562821802
550,1201132.0373742133,-80.16678620049183
650,1039749.8813211898,-82.55986155305314
750,921135.0303936505,-83.87419869754532
850,823011.3033294209,-85.68777885826977
950,766208.1576252893,-87.21392686146825
1050,704340.8325995868,-88.77978887623689
