Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13779787.912142634,-23.377326743612468
150,8302286.591161392,-53.15789071326423
250,5788987.692265217,-61.1800063362181
350,4434634.139989533,-68.20421827344391
450,4093440.579179645,-73.22986632376394
550,3455885.5622166707,-75.99279332224175
650,2906481.1131550954,-78.34130288801668
750,2547995.6709007975,-79.8664256231373
850,2265666.353220802,-82.22318511179317
950,2068643.3716172955,-83.43833676553902
1050,1871423.373054943,-84.69287113916826
