Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5027146.372410394,4.16080912197897
150,4488577.693158964,-26.26548110964045
250,3765157.2636407414,-35.06595271496693
350,3141464.612298502,-42.51691889498127
450,2900619.9201592053,-54.15602748880914
550,2566337.515034013,-61.582467735483625
650,2290866.596179781,-69.81253815320478
750,2023324.7083641135,-72.89933892991083
850,1790910.5415404267,-75.89494996765751
950,1654189.1096237034,-78.35002260013587
1050,1510742.3549893175,-81.11549787337975
