Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6727504.780775613,-129.24640046590906
150,440347.6574893218,-16.137379770223415
250,849150.8601111125,-26.448267986658575
350,685967.5645168608,-49.08534593757139
450,602434.932578922,-48.9280623993258
550,254879.16877466056,-12.071686142800864
650,507425.3572329599,-60.91161586510576
750,451575.64357740205,-54.29470890690703
850,397097.5308472358,-56.85271736291372
950,354262.3996386845,-55.900845791134884
1050,378251.0974359797,-65.48418525042067
