Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6993806.009927735,-58.95226396600112
150,2693487.985440626,-79.40917167474487
250,1660914.4432528052,-81.63471276679691
350,1211551.961371955,-83.07821506438218
450,959763.5061934664,-84.46177316533681
550,796410.3949919175,-85.47959218256263
650,672523.4015174179,-86.62756885835061
750,587306.0814939606,-87.52178789237591
850,516822.93318473443,-88.66247958836396
950,475736.19847763877,-89.40846307947771
1050,432704.96837573877,-90.39451316381474
