Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5291462.924501399,10.401787449393593
150,359522.5689521101,-26.08222769392462
250,282397.6895804493,-20.920625994898526
350,265012.7106138047,-22.833265789996183
450,248651.0295336699,-20.110056383152624
550,234966.86866130368,-22.71418025076269
650,214263.96576269148,-25.449242954996443
750,253906.84183731387,-50.214835419311164
850,217861.88974472313,-48.301378162702825
950,231917.5218788724,-52.136277628626615
1050,196062.74914253326,-53.97956170561265
