Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14424043.723495012,-19.3890849886116
150,11182552.826264517,-27.895749059140474
250,9035289.270735381,-51.076972956251446
350,7102994.309309115,-63.57526467914603
450,5908334.015352433,-71.53512404162622
550,4991590.206622258,-78.79068104381957
650,4253862.281076919,-86.8596531484707
750,3720592.6939583286,-90.64038271015313
850,3254119.42905433,-96.07651364116606
950,2971012.5374563327,-100.41172894711053
1050,2680990.2853531176,-104.31760927786046
