Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,272234.16185235645,-20.736322578948194
150,213914.41897655267,-23.100897167879072
250,190705.50182925334,-26.425683962162044
350,175676.35636771843,-29.315758188149438
450,164423.3414096038,-32.024809213811004
550,155407.81658559444,-34.56773729684587
650,147199.69163408226,-37.21251178887087
750,141324.79893550515,-39.54522491442591
850,134260.3894225796,-42.04667076371157
950,129780.11324570942,-43.83760421795213
1050,125589.12687047748,-45.43254609557323
