Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4218285.588191701,-76.69886698687313
150,441293.68896800344,-11.6655306781973
250,841751.2993553245,-36.854538229396006
350,616385.6170859649,-28.817437393457674
450,659969.1313861455,-40.4453718987486
550,247206.47600600612,-14.661515246771943
650,479020.97697565885,-47.015064451299594
750,451190.16743276455,-57.76057556552336
850,382084.1193217148,-54.86868704232902
950,359440.4112292916,-58.44992441683348
1050,325303.65350130986,-61.73512834351253
