Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,9819374.343934283,-13.543141867497138
150,8846156.837368244,-31.52936185757268
250,8156971.213554158,-45.650509104238395
350,6509278.451039922,-55.10497879603479
450,5510302.078641938,-64.53712479059804
550,4677167.611881042,-71.16454772637715
650,4014615.6458099573,-79.3299662638886
750,3541635.1663081944,-84.49706978200919
850,3113770.2505454924,-90.08000662475575
950,2879334.887959055,-94.6072720244298
1050,2592541.4270025673,-95.36258333473408
