Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,212528.9611875859,-23.79397769165534
150,166252.8086592319,-22.877012480120822
250,149991.351973697,-24.607822934004552
350,140328.0847501703,-27.040389346232455
450,133306.54587227097,-29.616718922100485
550,128531.59328827934,-32.17346077558325
650,122294.15014032461,-34.78700438936165
750,116733.55141045936,-37.222488597929676
850,112244.25791449963,-39.829654646564805
950,108859.09782171519,-41.562146669040295
1050,104960.51770837052,-43.84370850235176
