Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,24546294.796409424,-35.42366373289501
150,12213387.068132017,-69.62978165691054
250,7254060.931956683,-75.04365479984112
350,5466352.109450348,-81.12098274557208
450,4190761.6913230736,-84.18323072218126
550,3456475.939984957,-87.97638594732935
650,2898461.1434976147,-91.64526162573517
750,2544349.7341661663,-94.76944791457814
850,2211420.5528067816,-97.70157131719377
950,2004674.4764198496,-99.86255965894959
1050,1819830.1406197615,-102.3195951764832
