Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,27542344.217497077,-69.13089170633197
150,10258256.319090838,-80.20045066975669
250,7409983.703918342,-85.2013934754742
350,5237582.886229789,-85.12187739346102
450,4147530.6030879407,-88.71922183737703
550,3468857.6963649085,-91.45915701854608
650,2973808.6858151145,-96.17300480415496
750,2600597.814055139,-97.97710742249458
850,2272355.7490998073,-100.32745329266092
950,2091820.6465798577,-103.08385660060289
1050,1892157.018921004,-104.92929648040688
