Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,75256.86441405554,-90.09783038216536
150,2740.5316601132627,-26.283201029289376
250,2341.8895592963186,-27.87111082392264
350,2110.3591667725736,-25.721301246639012
450,2061.504372670493,-31.127786721228862
550,1941.7273602520884,-30.360586301572788
650,1841.8178768368205,-31.962470843555554
750,1845.3092873219703,-33.1918519622284
850,1668.9999326236662,-34.01244746253766
950,1702.0504791180451,-35.17525009796397
1050,1565.1865640525596,-36.391901314317664
