Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,220483.35857957165,-30.013973062685796
150,165538.60663489398,-25.380510633485777
250,149434.48033800552,-26.753171734922073
350,139379.2693523737,-29.146183921066083
450,132641.04894738304,-32.01014393200839
550,126771.683154032,-34.90792952256887
650,120622.19488215417,-38.10163465029428
750,115785.86450157694,-41.08313499294444
850,111293.48803924659,-44.31022858848337
950,108243.19400331053,-46.67048421084145
1050,104369.3094001355,-49.321876836843764
