Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,2793995.0711418246,-16.752511707178623
150,2067068.3480972059,-62.428353941312075
250,1309812.9761051645,-67.84465093641742
350,989613.2622613712,-73.48818094612662
450,811159.1499604775,-76.70637473350254
550,654682.3498027045,-79.6501297802386
650,565251.5036132252,-81.21811268828145
750,493206.0181863426,-82.63425280266227
850,430888.6902965371,-84.19609867740867
950,398049.9114215009,-85.26012057039564
1050,364596.26940064644,-86.62394432030452
