Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,24029291.27200566,-17.21527613726984
150,15337875.892488997,-45.450784767252415
250,11233688.328548322,-68.67656570404328
350,8213675.0236111535,-74.0213101733461
450,6807477.802703572,-83.43974004853662
550,5607378.680038356,-90.95710268465778
650,4707144.381955553,-99.66231623890585
750,4167417.1482038675,-107.31787804957332
850,3603548.1950717056,-112.30764128493928
950,3245974.719622604,-115.32670960761021
1050,2781181.7994649666,-119.84079276384215
