Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,30234985.302575506,-33.72232644332283
150,20441291.101177596,-73.65523384528639
250,12043950.941244094,-82.57274711952851
350,9086924.470697112,-90.93041490623898
450,6890658.03638647,-95.89109122797221
550,5692989.05129839,-100.88446377558387
650,4721997.655033726,-107.24943591036151
750,4085387.138884246,-111.68640267296495
850,3505789.5683053466,-116.53674907826928
950,3189878.6007112227,-119.91250529834143
1050,2824772.4374033725,-124.22138781201973
