Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12201611.581888549,-6.044843790592987
150,9147041.630370198,-40.984070242524375
250,7750299.707209277,-53.013227140795664
350,5993492.983418065,-61.02862005882599
450,5113178.329335521,-70.81321684002552
550,4236622.342248698,-75.84099391791075
650,3632556.638830035,-83.34441008376517
750,3302703.1615822413,-87.33709542682672
850,2799392.342835877,-91.60585738311454
950,2554319.2561023575,-95.67559052482774
1050,2272568.962516829,-98.77663906226984
