Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,29490506.8465279,-19.083462519635493
150,18539661.343810257,-66.23077852892322
250,11675993.424248246,-77.05517130224258
350,9027117.717519606,-89.03742800280641
450,6885141.746915678,-92.51590335934297
550,5732519.185282258,-99.41646384637951
650,4775135.209685883,-105.42429995201016
750,4141296.9352246216,-109.76094568165941
850,3584206.4673157553,-115.0493031343056
950,3240413.5337886806,-117.63140715184528
1050,2890659.389654281,-122.5615976016833
