Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,140678.36508074048,166.28842610341871
150,4909.900437806231,48.090976425499925
250,1299.5258629653817,-6.445935588747241
350,1266.2442824764248,-1.1342594052410826
450,1327.883003898307,-4.0131442357661955
550,1281.0587901998317,-5.400580118735173
650,1296.2834580432097,-6.0474946120439945
750,1281.7973513438108,-7.840324852987876
850,1267.6482837137985,-8.881941606352669
950,1261.8411779064006,-9.234559476773544
1050,1263.4834518633788,-11.266420780068284
