Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,240929.89069041182,-28.526541962160454
150,170006.59802031884,-27.932386032636863
250,151132.9604744034,-29.251650734687914
350,139101.32583304617,-31.507617951398473
450,130091.02822200628,-34.0970828481685
550,123325.51052704795,-36.53796600259745
650,116598.96776390217,-39.315104304247534
750,111574.51825768215,-41.84416067153077
850,106592.57701186523,-44.54622130488031
950,103289.74375860872,-46.454370300445255
1050,98236.47875044525,-48.89446334119246
