Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6948079.181935859,-31.103536451367347
150,5135770.512409706,-50.38497569041627
250,3621699.0790583077,-55.11372402147445
350,2820976.2194911717,-61.48297774224395
450,2331128.9382360512,-66.52723763488297
550,1991130.84326333,-70.22668785567394
650,1713970.7920890173,-73.58363172011494
750,1522685.4648092177,-75.80643312471011
850,1356453.4028589595,-78.45699566380164
950,1256209.0867784473,-79.96858854574498
1050,1151897.1185991832,-81.92404026201463
