Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12542932.419200957,-13.07076050120036
150,7618345.780626199,-55.80829219929624
250,5041895.550091009,-62.547803898813164
350,4055720.0968261813,-73.67770936970435
450,3180013.601077075,-75.76459478639948
550,2667948.9548852057,-79.06319293816408
650,2234004.3325313213,-81.06264023734613
750,1965203.8173922452,-83.94515613115998
850,1717193.451452019,-85.36145996994362
950,1579087.5340774977,-87.14146052792314
1050,1453989.5167152989,-90.0169972349593
