Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13642162.624642525,-37.27561132575727
150,7956323.532953548,-43.28018551888755
250,6006122.591192972,-51.73603265277145
350,4098559.2419039565,-68.85702148734008
450,4224464.195960069,-77.4625299916632
550,3616649.4008655814,-78.79396542819848
650,3224966.9172996497,-82.45676736596128
750,2961979.5358077437,-87.8464876312074
850,2785519.8850171077,-95.22375632866934
950,2517504.8744809427,-99.33327718550542
1050,2186445.115975551,-101.89759421655063
