Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14429161.270002048,-84.00790969576232
150,4820959.812989488,-83.82892207467053
250,2943077.773218596,-83.6202081231047
350,2138059.8706404623,-84.39014105695354
450,1690692.373656522,-85.49036559307507
550,1404056.2272906878,-86.57260871083456
650,1184040.9921756913,-88.00270114434026
750,1035971.7413125907,-89.43894199330033
850,910600.5279254256,-90.82620677390256
950,836161.5159094715,-91.81189645819934
1050,759143.9353194636,-93.14824596178525
