Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,19342565.97646088,-33.12017384997936
150,10036015.074797735,-73.43069047030102
250,6292751.754715559,-78.06110983876206
350,5242441.852859859,-84.19084478476543
450,3942276.4123767866,-86.7485637823054
550,3299542.483785198,-90.18759457993174
650,2790449.6170496317,-93.37026255363843
750,2471471.562540773,-96.19780220560861
850,2149556.818743456,-99.0955876437599
950,1991612.2388542672,-101.61943274950063
1050,1788200.884014653,-104.05288008070781
